,0,1,2,3,4
0,1354,2110.0,"""Voting is always an obligation, but even more so now, when what we have is just terrifying,""",['Brown'],Federal Voting Assistance Program
0,1402,2204.0,"""Can’t believe they are not going after Schumer for the threats he made to our cherished United States Supreme Court, and our two great Justices,""",['Trump'],Supreme Court of the United States
0,1403,2204.0,"""hunker down significantly more than we as a country are doing,""",['Trump' 'Americans'],Senate
0,1409,2226.0,"""All nonessential services must be closed, including bars and restaurants,""",['Corey Johnson'],Advisory Council on Historic Preservation
0,1413,2228.0,"""They gave us water and snacks but no updates on how long or what stages we had to go through,""",['Gabrielle Osterman'],Customs and Border Protection
0,1415,2228.0,"""At this time, we are working quickly with our partners to operationalize a plan which will outline where these travelers will be routed and what the screening process will be,""",['Marcus Hubbard'],Centers for Disease Control and Prevention (CDC)
0,1434,2241.0,"""We recognize that the Covid-19 outbreak is an evolving situation, with a growing impact on the United States and global community, and want to ensure that the V.A. has all of the resources needed to keep veterans, staff and communities safe,""",['Jon Tester'],Senate
0,1448,2260.0,"""They gave us water and snacks but no updates on how long or what stages we had to go through,""",['Gabrielle Osterman'],Customs and Border Protection
0,1450,2260.0,"""At this time, we are working quickly with our partners to operationalize a plan which will outline where these travelers will be routed and what the screening process will be,""",['Marcus Hubbard'],Centers for Disease Control and Prevention (CDC)
0,1460,2267.0,"""The Census Bureau always plans for the worst and hopes for the best,""",['Terri Ann Lowenthal'],Bureau of the Census
0,1461,2267.0,"""By design, it’s social distancing,""",['Steve Jost'],Bureau of the Census
0,1477,2283.0,"""We have a sophisticated system in which the Census Bureau and researchers have very good estimates of what they think the population count will be,""",['Margo Anderson'],Bureau of the Census
0,1481,2293.0,"""turn me into Hoover,""",['Herbert Hoover'],Court of Federal Claims
0,1482,2293.0,"""now realizes he does not have the authority to fire""",['Mick Mulvaney'],White House
0,1517,2356.0,"""In terms of educational continuity, we’re going to see a lot of disparity between the districts that have the capacity to do it and those that don’t.""",['Betsy DeVos'],Barry M. Goldwater Scholarship and Excellence in Education Program
0,1550,2420.0,"""Intel ad bunny suits,""",['Leeds' 'Doug Leeds'],Central Intelligence Agency (CIA)
0,1557,2429.0,"""These changes are being made to address highly unusual disruptions in Treasury financing markets associated with the coronavirus outbreak,""",['the New York Fed'],Department of the Treasury
0,1558,2429.0,"""This is a full-blown crisis response operation, intended to make it abundantly clear that the Fed will not allow liquidity to dry up,""",['Ian Shepherdson'],Court of Federal Claims
